time_s,in0_v,in1_v
0.000000,1.026326,0.444416
0.211052,0.540378,0.788383
0.420025,0.527295,0.794990
0.630586,0.523534,0.807391
0.840112,0.525998,0.796449
1.050694,0.523782,0.807442
1.260215,0.525224,0.796392
1.469775,0.521683,0.806574
1.680307,0.525041,0.796928
1.887827,0.517045,0.803931
2.088380,0.517530,0.804145
2.287913,0.516566,0.804150
2.488450,0.517395,0.804904
2.687986,0.516828,0.804099
2.888524,0.517096,0.804628
3.088055,0.516271,0.804323
3.288590,0.516782,0.805015
3.488123,0.516469,0.803760
3.688657,0.516385,0.804185
3.888190,0.516288,0.803840
4.087724,0.515531,0.802013
4.288287,0.515616,0.801882
4.487839,0.515631,0.801001
4.688374,0.516351,0.802659
4.887930,0.516288,0.802264
5.088468,0.517087,0.802952
5.288017,0.516728,0.801726
5.488553,0.517020,0.802488
5.688074,0.516895,0.801267
5.888620,0.517547,0.801858
6.088153,0.517028,0.800337
6.287686,0.517210,0.799197
6.488215,0.517489,0.799715
6.688464,0.517420,0.797979
6.888359,0.517865,0.799652
7.087999,0.518084,0.796576
7.288548,0.517972,0.798965
7.488088,0.423319,0.786789
7.688629,0.431674,0.790146
7.888167,0.432095,0.788967
8.087718,0.432143,0.787628
8.288272,0.432619,0.789459
8.487802,0.432440,0.789709
8.688352,0.433264,0.790238
8.887916,0.432606,0.789862
9.088446,0.432935,0.790077
9.287974,0.432382,0.789398
9.488499,0.432599,0.789691
9.688019,0.432064,0.788022
9.888532,0.432712,0.789607
10.088058,0.432500,0.789585
10.288587,0.432375,0.789405
10.488121,0.432802,0.789280
10.688647,0.432512,0.789417
10.888200,0.432734,0.789389
11.087740,0.433498,0.789660
11.288278,0.519101,0.798537
11.487807,0.517479,0.797836
11.688343,0.517038,0.796978
11.887913,0.519734,0.796263
12.088444,0.518756,0.796497
12.287975,0.519062,0.795639
12.488524,0.518916,0.795009
12.688030,0.519961,0.796305
12.888639,0.519416,0.795763
13.088168,0.519725,0.795296
13.287701,0.521698,0.796568
13.488227,0.520241,0.796812
13.687755,0.522019,0.796613
13.888331,0.520450,0.797052
14.087862,0.521632,0.797025
14.288398,0.520228,0.797183
14.487935,0.522301,0.797426
14.688460,0.520405,0.797352
14.888002,0.522050,0.797863
15.088534,0.520218,0.797553
15.288060,0.521920,0.797363
15.488598,0.520120,0.796818
15.688127,0.521477,0.796701
15.888643,0.520719,0.798109
16.088173,0.522465,0.797882
16.287700,0.523667,0.798186
16.488232,0.522451,0.798373
16.687764,0.523981,0.799039
16.888338,0.522988,0.798511
17.087872,0.524146,0.798950
17.288399,0.522537,0.798853
17.487921,0.523378,0.798125
17.688464,0.522468,0.797781
17.887990,0.523479,0.797963
18.088544,0.522856,0.797033
18.288053,0.524438,0.799342
18.488565,0.523798,0.798712
18.688094,0.524739,0.799562
18.888632,0.524224,0.799122
19.088164,0.524921,0.799604
19.287688,0.526153,0.800593
19.488200,0.525218,0.799816
19.687711,0.526372,0.801375
19.888235,0.525629,0.800192
20.087754,0.527189,0.801597
20.288285,0.526254,0.799696
20.487799,0.526776,0.800975
20.688339,0.526292,0.798607
20.887860,0.527936,0.802012
21.088359,0.527166,0.800388
21.287839,0.528627,0.802066
21.488345,0.527956,0.800863
21.687858,0.529360,0.802253
21.888400,0.528864,0.801021
22.087879,0.529823,0.802543
22.288403,0.529048,0.801453
22.487918,0.530647,0.802393
22.688440,0.529592,0.801541
22.887973,0.530898,0.802777
23.088501,0.530246,0.801601
23.288044,0.530408,0.801823
23.488587,0.530027,0.799723
23.688082,0.531316,0.802773
23.888582,0.531209,0.802064
24.088095,0.532486,0.803029
24.288622,0.531651,0.801883
24.488106,0.532405,0.802876
24.688639,0.531533,0.801547
24.888217,0.532589,0.803009
25.087758,0.532062,0.802436
25.288295,0.532602,0.800285
25.487808,0.532503,0.802712
25.688300,0.533318,0.802958
25.887812,0.533212,0.803790
26.088349,0.533275,0.802458
26.287830,0.533498,0.804010
26.488389,0.533014,0.801744
26.687919,0.532709,0.802340
26.888459,0.533248,0.801009
27.087955,0.533577,0.803836
27.288449,0.533664,0.802796
27.487945,0.533727,0.803386
27.688457,0.533519,0.802367
27.887998,0.534338,0.804201
28.088523,0.533997,0.802875
28.288056,0.534344,0.803463
28.488586,0.534083,0.802525
28.688118,0.534221,0.803668
28.888699,0.534548,0.803007
29.088230,0.534186,0.803457
29.287760,0.533460,0.803799
29.488287,0.533519,0.802952
29.687802,0.533918,0.804347
29.888293,0.534495,0.804096
30.087801,0.534333,0.805090
30.288340,0.534258,0.804069
30.487873,0.534733,0.805286
30.688404,0.534419,0.804212
30.887942,0.534738,0.805752
31.088475,0.534696,0.804592
31.288006,0.534770,0.805324
31.488531,0.534510,0.804690
31.688061,0.534630,0.805552
31.888598,0.534639,0.804894
32.088128,0.533702,0.804757
32.288660,0.533757,0.803910
32.488154,0.534428,0.805570
32.687651,0.533872,0.805925
32.888193,0.534292,0.805928
33.087724,0.533639,0.805969
33.288273,0.534408,0.805089
33.487812,0.533537,0.806301
33.688356,0.534409,0.805542
33.887880,0.534130,0.806380
34.088421,0.534087,0.805806
34.287958,0.533588,0.806366
34.488493,0.533538,0.805070
34.688020,0.532352,0.805474
34.888515,0.533940,0.806639
35.088009,0.533054,0.806908
35.288506,0.533620,0.806670
35.488012,0.532943,0.806830
35.688507,0.533347,0.806954
35.888026,0.532900,0.807292
36.088560,0.533544,0.806752
36.288034,0.532424,0.807832
36.488572,0.532703,0.806934
36.688101,0.532143,0.807704
36.888684,0.533010,0.807236
37.088208,0.531485,0.806800
37.287747,0.529880,0.806813
37.488257,0.531687,0.807677
37.687755,0.530387,0.807956
37.888260,0.531463,0.807978
38.087796,0.530007,0.807886
38.288324,0.530912,0.807872
38.487858,0.530238,0.808455
38.688393,0.531379,0.807656
38.887921,0.529774,0.808527
39.088459,0.530898,0.808420
39.287993,0.529553,0.808424
39.488530,0.530195,0.807348
39.688059,0.528261,0.808015
39.888564,0.530782,0.808839
40.088061,0.529040,0.809104
40.288554,0.530401,0.808935
40.488069,0.528284,0.808826
40.688592,0.530963,0.810045
40.888171,0.528494,0.809297
41.087697,0.526885,0.809483
41.288228,0.528277,0.809114
41.487759,0.526725,0.809492
41.688290,0.528029,0.809291
41.887812,0.526531,0.809985
42.088357,0.527555,0.809205
42.287883,0.526186,0.809638
42.488416,0.526499,0.808596
42.687956,0.526154,0.807922
42.888472,0.527161,0.811152
43.087960,0.526023,0.810388
43.288473,0.526903,0.809931
43.487998,0.525386,0.810072
43.688532,0.526763,0.809926
43.888060,0.525499,0.810600
44.088594,0.525779,0.809168
44.288126,0.524600,0.809377
44.488624,0.526258,0.810247
44.688139,0.524975,0.810381
44.887714,0.524009,0.810467
45.088253,0.525025,0.810014
45.287787,0.523983,0.810348
45.488324,0.524811,0.810494
45.687855,0.523556,0.810241
45.888404,0.524748,0.810304
46.087931,0.523526,0.810866
46.288466,0.524276,0.810314
46.488005,0.523220,0.809979
46.688532,0.523476,0.809611
46.888072,0.522913,0.809485
47.088593,0.523597,0.810843
47.288076,0.523235,0.810707
47.488567,0.523664,0.811034
47.688044,0.522510,0.810721
47.888532,0.523565,0.810940
48.088059,0.522315,0.809893
48.288571,0.523048,0.810330
48.488105,0.522417,0.810177
48.688632,0.523111,0.810936
48.888209,0.522589,0.810432
49.087742,0.521150,0.808593
49.288280,0.522164,0.810185
49.487816,0.521633,0.809009
49.688350,0.522263,0.809767
49.887885,0.521345,0.808863
50.088418,0.522086,0.809969
50.287952,0.521155,0.808534
50.488486,0.521417,0.808799
50.688016,0.520177,0.807388
50.888531,0.521784,0.809279
51.088005,0.520549,0.808287
51.288502,0.521511,0.809204
51.488005,0.520073,0.807607
51.688512,0.520955,0.808736
51.888035,0.520014,0.807343
52.088576,0.521277,0.809159
52.288112,0.520012,0.807316
52.488655,0.520779,0.808113
52.688189,0.519781,0.806780
52.887775,0.518382,0.805751
53.088327,0.518697,0.805587
53.287879,0.518329,0.804447
53.488397,0.519564,0.806848
53.687887,0.518295,0.806076
53.888428,0.519368,0.805973
