time_s,in0_v,in1_v
0.000000,3.913741,0.985529
0.199505,1.352772,2.809702
0.398996,1.353242,2.817357
0.599533,1.357385,2.819213
0.799066,1.349226,2.809001
0.999634,1.351501,2.809256
1.199156,1.363145,2.826414
1.399620,1.359396,2.813878
1.599137,1.357975,2.821580
1.799701,1.365004,2.818365
1.999248,1.358782,2.827700
2.199765,1.351730,2.811581
2.399237,1.352143,2.809246
2.599770,1.345923,2.807017
2.799314,1.357009,2.815497
2.999800,1.354619,2.813177
3.199407,1.360372,2.810614
3.399946,1.357513,2.810755
3.599400,1.361268,2.811116
3.799938,1.366272,2.803078
3.999418,1.371229,2.793019
4.199932,1.367816,2.796973
4.399415,1.369365,2.819976
4.599969,1.321998,2.853479
4.799492,1.281998,2.902419
4.999096,1.215421,2.969027
5.199599,1.162887,3.025141
5.399097,1.138238,3.047422
5.599188,1.167209,3.020928
5.799744,1.221924,2.960980
5.999477,1.299828,2.880006
6.199947,1.359338,2.815247
6.399398,1.360462,2.794960
6.599952,1.321766,2.849456
6.799476,1.224979,2.947372
6.999053,1.163640,3.030276
7.199566,1.149689,3.044418
7.399190,1.205498,2.980916
7.599291,1.286975,2.879923
7.799829,1.367676,2.807956
7.999382,1.362846,2.806021
8.199897,1.290356,2.887463
8.399375,1.194075,2.996635
8.599981,1.141418,3.033093
8.799518,1.170675,3.012535
8.999046,1.257055,2.909102
9.199594,1.344412,2.820425
9.399025,1.362460,2.791572
9.599604,1.310404,2.858028
9.799137,1.210216,2.975492
9.999701,1.149778,3.040410
10.199219,1.159109,3.032722
10.399689,1.234782,2.935949
10.599238,1.333331,2.850773
10.799763,1.379288,2.798973
10.999318,1.330975,2.842955
11.199859,1.249037,2.935004
11.399343,1.161981,3.022277
11.599886,1.147087,3.041895
11.799414,1.203015,2.974364
12.000170,1.299456,2.865535
12.199707,1.360297,2.797308
12.399169,1.350346,2.806298
12.599746,1.276931,2.892685
12.799260,1.197925,2.987038
12.999813,1.143179,3.044635
13.199325,1.158599,3.016247
13.399792,1.241285,2.942276
13.599344,1.326477,2.849733
13.799884,1.373213,2.793576
13.999430,1.344793,2.818068
14.199975,1.269514,2.903887
14.399415,1.196147,2.997342
14.599987,1.147335,3.051279
14.799504,1.156573,3.037521
14.999055,1.223756,2.956515
15.199588,1.310474,2.862271
15.399053,1.356256,2.793437
15.599615,1.357860,2.804886
15.799147,1.320036,2.875196
15.999687,1.226649,2.945352
16.199249,1.158088,3.025460
16.399711,1.141990,3.044798
16.599252,1.169807,2.992374
16.799769,1.249890,2.925552
16.999297,1.323547,2.862284
17.199803,1.372475,2.796749
17.399272,1.357447,2.805999
17.599809,1.314561,2.860192
17.799340,1.239189,2.943484
17.999924,1.176195,3.013808
18.198978,1.141325,3.039566
18.399438,1.157086,3.036394
18.599985,1.215240,2.972314
18.799561,1.278733,2.903304
18.999094,1.340466,2.821559
19.199623,1.370164,2.797328
19.399076,1.351678,2.804342
19.599619,1.311549,2.873064
19.799148,1.230709,2.942185
19.999701,1.185226,3.009232
20.199208,1.142869,3.031542
20.399696,1.140767,3.031897
20.599201,1.182005,2.986668
20.799710,1.241527,2.919173
20.999318,1.304278,2.855732
21.199841,1.354553,2.812880
21.399291,1.373276,2.793421
21.599834,1.354475,2.820867
21.799310,1.296069,2.864253
21.999805,1.252162,2.934814
22.199316,1.181516,2.990701
22.399790,1.149032,3.023229
22.599327,1.140670,3.040693
22.799851,1.160346,3.008294
22.999400,1.202044,2.965927
23.199916,1.253522,2.906948
23.399335,1.316708,2.853709
23.599838,1.356050,2.811857
23.799350,1.354958,2.792686
24.000086,1.352045,2.806084
24.199624,1.306067,2.838160
24.399086,1.270224,2.893697
24.599643,1.220898,2.951523
24.799171,1.176937,2.997143
24.999741,1.145774,3.023495
25.199261,1.139277,3.040342
25.399766,1.149845,3.026879
25.599287,1.178172,2.976447
25.799842,1.227152,2.938789
25.999388,1.282699,2.902817
26.199878,1.317657,2.837182
26.399309,1.361898,2.809049
26.599802,1.366265,2.800448
26.799307,1.362290,2.797624
26.999829,1.342398,2.825364
27.199368,1.303920,2.860438
27.399823,1.254227,2.911579
27.599348,1.215370,2.963411
27.799877,1.169111,3.001916
27.999374,1.148846,3.036450
28.199911,1.142863,3.043431
28.399402,1.146394,3.044943
28.599938,1.168236,3.022517
28.799480,1.197740,2.987021
28.999023,1.242446,2.949338
29.199569,1.277569,2.894509
29.399012,1.320153,2.860640
29.599544,1.350242,2.827976
29.799058,1.366987,2.803809
29.999740,1.373331,2.796331
30.199275,1.372811,2.805554
30.399762,1.355203,2.825515
30.599310,1.316023,2.860143
30.799846,1.291137,2.907597
30.999424,1.256982,2.941458
31.199923,1.218757,2.989328
31.399432,1.176004,3.012429
31.599967,1.158072,3.034005
31.799512,1.140973,3.041882
31.999152,1.142901,3.048866
32.199687,1.149961,3.029310
32.399114,1.174117,3.012656
32.599632,1.200399,2.989844
32.799130,1.232716,2.959136
32.999666,1.263725,2.915945
33.199178,1.296311,2.880820
33.399660,1.318728,2.840915
33.599192,1.339969,2.821888
33.799744,1.356829,2.790865
33.999294,1.363322,2.791597
34.199765,1.369831,2.805818
34.399189,1.356428,2.801824
34.599702,1.338522,2.826517
34.799209,1.311784,2.840615
34.999783,1.292566,2.874594
35.199297,1.277110,2.886823
35.399827,1.284126,2.895317
35.599352,1.252859,2.917259
35.799876,1.299363,2.886426
35.999437,1.323650,2.861103
36.199956,1.327533,2.844476
36.399424,1.323996,2.840741
36.599954,1.349389,2.819907
36.799489,1.362534,2.799023
36.999032,1.363896,2.787036
37.199539,1.364718,2.793444
37.398985,1.342074,2.818990
37.599513,1.302087,2.868303
37.799045,1.252832,2.923460
37.999598,1.199875,2.959176
38.199070,1.167234,3.025560
38.399553,1.144349,3.043145
38.599091,1.166416,3.022755
38.799612,1.211376,2.978515
38.999171,1.227546,2.935345
39.199710,1.301132,2.872110
39.399219,1.368222,2.808792
39.599745,1.371004,2.798934
39.799263,1.329840,2.845527
39.999809,1.264432,2.918524
40.199308,1.199730,2.969677
40.399742,1.149243,3.026350
40.599239,1.138479,3.035268
40.799759,1.178676,2.994510
40.999341,1.256995,2.915447
41.199857,1.322129,2.840958
41.399322,1.368132,2.796864
41.599862,1.365221,2.807956
41.799383,1.303731,2.868213
41.999864,1.229810,2.967666
42.199380,1.161213,3.018141
42.399848,1.146977,3.046129
42.599263,1.162471,3.003122
42.799782,1.228284,2.930602
42.999276,1.312234,2.870253
43.199748,1.354405,2.805826
43.399178,1.364739,2.799545
43.599701,1.321550,2.838647
43.799231,1.247449,2.921240
43.999783,1.177192,2.992479
44.199268,1.141127,3.051297
44.399736,1.150270,3.023647
44.599283,1.206181,2.973335
44.799810,1.272597,2.892050
44.999360,1.349041,2.830622
45.199890,1.376140,2.794393
45.399353,1.361684,2.819899
45.599888,1.313256,2.886113
45.799424,1.234413,2.948856
46.000009,1.171125,3.022178
46.199481,1.154569,3.059864
46.398923,1.162926,3.031157
46.599423,1.212488,2.965837
46.799927,1.272045,2.896932
46.999485,1.336859,2.830969
47.198981,1.365023,2.797191
47.399457,1.368307,2.812255
47.599000,1.326990,2.859057
47.799517,1.265736,2.923782
47.999107,1.197263,2.993732
48.199612,1.148774,3.033667
48.399082,1.141544,3.037593
48.599623,1.168026,3.006618
48.799141,1.244674,2.931567
48.999647,1.326409,2.854129
49.199140,1.297119,2.851163
49.399616,1.334128,2.836355
49.599147,1.374278,2.794346
49.799698,1.363305,2.799268
49.999315,1.322315,2.861161
50.199810,1.263053,2.915520
50.399271,1.210599,2.995685
50.599804,1.161047,3.027599
50.799326,1.136644,3.043724
50.999871,1.145280,3.037262
51.199350,1.191089,3.010641
51.399781,1.251672,2.933094
51.599288,1.301451,2.881748
51.799800,1.358191,2.829259
51.999350,1.370560,2.800369
52.199876,1.372125,2.801308
52.399335,1.350687,2.832839
52.599882,1.307357,2.894966
52.799417,1.251668,2.945032
52.999962,1.199365,3.006107
53.199498,1.157332,3.039019
