point_id,stage,angle1_deg,angle2_deg,score,diff_amplitude_v,in0_amplitude_v,in1_amplitude_v,mean_sum_v,samples,start_s,end_s
1,coarse,1.000,1.000,0.118127162,0.528774885,0.291194723,0.241332212,4.245177304,18,1.658491,12.940699
2,coarse,1.000,40.996,0.093179658,0.397805982,0.189914840,0.209341964,4.195144955,18,12.940872,20.979218
3,coarse,1.000,81.036,0.085353762,0.358975008,0.177527071,0.187231646,4.195017769,18,20.979372,29.017729
4,coarse,1.000,120.956,0.103202368,0.441284750,0.208992300,0.230431532,4.192192950,18,29.017929,36.938237
5,coarse,1.000,160.000,0.049452330,0.208619577,0.102287663,0.108957114,4.178230116,18,36.938378,44.860743
6,coarse,40.996,160.000,0.068859127,0.295543983,0.138528827,0.155500520,4.176212556,18,44.860899,52.801247
7,coarse,40.996,120.956,0.086259419,0.366730944,0.174721810,0.191315525,4.182822175,18,52.801459,60.732748
8,coarse,40.996,81.036,0.068206874,0.288143949,0.140943254,0.147703718,4.187735064,18,60.732895,68.655245
9,coarse,40.996,40.996,0.097108766,0.412605343,0.198792583,0.213010977,4.189932803,18,68.655389,76.685756
10,coarse,40.996,1.000,0.031988475,0.135716479,0.065808661,0.070219100,4.195807746,18,76.685899,84.713253
11,coarse,81.036,1.000,0.054384267,0.231279334,0.111788423,0.117816906,4.200049318,18,84.713466,92.623752
12,coarse,81.036,40.996,0.088583322,0.376517836,0.182263512,0.191843186,4.196798497,18,92.623904,100.652246
13,coarse,81.036,81.036,0.047253014,0.207340845,0.094036286,0.113407647,4.195465396,18,100.652452,108.682733
14,coarse,81.036,120.956,0.062993544,0.268426648,0.128347196,0.140514930,4.176090423,18,108.682940,116.607229
15,coarse,81.036,160.000,0.073358862,0.313199891,0.149845173,0.163992557,4.183281875,18,116.607433,124.520703
16,coarse,120.956,160.000,0.072050734,0.297971406,0.150534337,0.147562786,4.182590251,18,124.520920,132.431191
17,coarse,120.956,120.956,0.084942480,0.360679799,0.173919593,0.183883816,4.186811936,18,132.431338,140.360656
18,coarse,120.956,81.036,0.069274367,0.295377654,0.141207184,0.152730547,4.191493536,18,140.360796,148.284135
19,coarse,120.956,40.996,0.094331885,0.400843308,0.192820695,0.208805754,4.181460488,18,148.284274,156.193616
20,coarse,120.956,1.000,0.026411047,0.109947070,0.055627875,0.056410814,4.186072730,18,156.193762,164.230085
21,coarse,160.000,1.000,0.037666139,0.159340653,0.076295793,0.085985711,4.189344085,18,164.230227,172.147567
22,coarse,160.000,40.996,0.081471404,0.342530997,0.167033649,0.175091225,4.182060357,18,172.147717,180.167039
23,coarse,160.000,81.036,0.099026946,0.418790929,0.206043777,0.209768638,4.188278141,18,180.167199,188.205515
24,coarse,160.000,120.956,0.097430581,0.407175162,0.203364535,0.203526056,4.177920327,18,188.205721,196.125969
25,coarse,160.000,160.000,0.079067814,0.334410538,0.163606212,0.172275332,4.186466582,18,196.126105,204.055431
26,local_20deg,21.036,1.000,0.037762260,0.161373549,0.077415870,0.084618558,4.201914610,18,204.055625,222.747526
27,local_20deg,1.000,21.036,0.080792161,0.343140887,0.165393246,0.176343026,4.202027256,18,222.747687,230.676986
28,local_10deg,10.996,1.000,0.045290320,0.192814881,0.094184690,0.096938490,4.203191487,18,230.677181,238.149409
29,local_10deg,1.000,10.996,0.064510899,0.274786230,0.132534466,0.142212518,4.194161492,18,238.149568,245.161805
30,local_5deg,5.976,1.000,0.047551965,0.200611263,0.099445979,0.101404014,4.196221178,18,245.161929,251.958200
31,local_5deg,1.000,5.976,0.056099948,0.238751467,0.115005189,0.123670442,4.198495331,18,251.958359,258.529579
32,local_2deg,2.988,1.000,0.051849825,0.219763436,0.107891816,0.114490396,4.194456746,18,258.529783,264.991947
33,local_2deg,1.000,2.988,0.051188214,0.217960817,0.103443541,0.116004743,4.193678822,18,264.992103,271.339305
34,final_1,1.000,1.000,0.051848434,0.220329564,0.107461964,0.112669745,4.201711711,18,271.339442,277.702667
35,final_2,1.000,1.000,0.049309282,0.213124469,0.099912172,0.114741078,4.194864437,18,277.702842,284.052018
36,final_3,1.000,1.000,0.050674276,0.216281499,0.102512281,0.111661276,4.188096970,18,284.052122,290.401372
