script_time_s,wall_time,event,speed_v_s,voltage_v
2.034854,2026-08-28T11:35:37.662,BASELINE_START,,20.000
7.036710,2026-08-28T11:35:42.663,BASELINE_END,,20.000
7.036858,2026-08-28T11:35:42.664,TEST_START,10.000,20.000
7.036894,2026-08-28T11:35:42.664,RAMP_UP_START,10.000,20.000
15.043351,2026-08-28T11:35:50.670,RAMP_UP_END,10.000,100.000
15.043438,2026-08-28T11:35:50.670,RAMP_DOWN_START,10.000,100.000
23.047662,2026-08-28T11:35:58.674,RAMP_DOWN_END,10.000,20.000
23.047915,2026-08-28T11:35:58.675,RAMP_UP_START,10.000,20.000
31.053015,2026-08-28T11:36:06.680,RAMP_UP_END,10.000,100.000
31.053283,2026-08-28T11:36:06.680,RAMP_DOWN_START,10.000,100.000
39.058288,2026-08-28T11:36:14.685,RAMP_DOWN_END,10.000,20.000
39.058369,2026-08-28T11:36:14.685,TEST_END,10.000,20.000
39.067278,2026-08-28T11:36:14.694,PAUSE_START,,20.000
42.067453,2026-08-28T11:36:17.694,PAUSE_END,,20.000
42.067586,2026-08-28T11:36:17.694,TEST_START,15.000,20.000
42.067622,2026-08-28T11:36:17.694,RAMP_UP_START,15.000,20.000
47.419604,2026-08-28T11:36:23.046,RAMP_UP_END,15.000,100.000
47.419795,2026-08-28T11:36:23.047,RAMP_DOWN_START,15.000,100.000
52.771827,2026-08-28T11:36:28.399,RAMP_DOWN_END,15.000,20.000
52.772042,2026-08-28T11:36:28.399,RAMP_UP_START,15.000,20.000
58.124034,2026-08-28T11:36:33.751,RAMP_UP_END,15.000,100.000
58.124281,2026-08-28T11:36:33.751,RAMP_DOWN_START,15.000,100.000
63.476225,2026-08-28T11:36:39.103,RAMP_DOWN_END,15.000,20.000
63.476318,2026-08-28T11:36:39.103,TEST_END,15.000,20.000
63.478213,2026-08-28T11:36:39.105,PAUSE_START,,20.000
66.478345,2026-08-28T11:36:42.105,PAUSE_END,,20.000
66.478476,2026-08-28T11:36:42.105,TEST_START,20.000,20.000
66.478514,2026-08-28T11:36:42.105,RAMP_UP_START,20.000,20.000
70.480506,2026-08-28T11:36:46.107,RAMP_UP_END,20.000,100.000
70.480713,2026-08-28T11:36:46.107,RAMP_DOWN_START,20.000,100.000
74.482650,2026-08-28T11:36:50.109,RAMP_DOWN_END,20.000,20.000
74.482878,2026-08-28T11:36:50.110,RAMP_UP_START,20.000,20.000
78.484801,2026-08-28T11:36:54.112,RAMP_UP_END,20.000,100.000
78.485001,2026-08-28T11:36:54.112,RAMP_DOWN_START,20.000,100.000
82.486959,2026-08-28T11:36:58.114,RAMP_DOWN_END,20.000,20.000
82.487041,2026-08-28T11:36:58.114,TEST_END,20.000,20.000
82.488946,2026-08-28T11:36:58.116,PAUSE_START,,20.000
85.489109,2026-08-28T11:37:01.116,PAUSE_END,,20.000
85.489240,2026-08-28T11:37:01.116,TEST_START,25.000,20.000
85.489277,2026-08-28T11:37:01.116,RAMP_UP_START,25.000,20.000
88.691201,2026-08-28T11:37:04.318,RAMP_UP_END,25.000,100.000
88.691398,2026-08-28T11:37:04.318,RAMP_DOWN_START,25.000,100.000
91.893320,2026-08-28T11:37:07.520,RAMP_DOWN_END,25.000,20.000
91.893419,2026-08-28T11:37:07.520,RAMP_UP_START,25.000,20.000
95.095441,2026-08-28T11:37:10.722,RAMP_UP_END,25.000,100.000
95.095528,2026-08-28T11:37:10.722,RAMP_DOWN_START,25.000,100.000
98.297578,2026-08-28T11:37:13.924,RAMP_DOWN_END,25.000,20.000
98.297653,2026-08-28T11:37:13.924,TEST_END,25.000,20.000
98.300144,2026-08-28T11:37:13.927,PAUSE_START,,20.000
101.300363,2026-08-28T11:37:16.927,PAUSE_END,,20.000
101.300510,2026-08-28T11:37:16.927,TEST_START,30.000,20.000
101.300552,2026-08-28T11:37:16.927,RAMP_UP_START,30.000,20.000
104.002789,2026-08-28T11:37:19.630,RAMP_UP_END,30.000,100.000
104.002871,2026-08-28T11:37:19.630,RAMP_DOWN_START,30.000,100.000
106.704881,2026-08-28T11:37:22.332,RAMP_DOWN_END,30.000,20.000
106.704956,2026-08-28T11:37:22.332,RAMP_UP_START,30.000,20.000
109.406991,2026-08-28T11:37:25.034,RAMP_UP_END,30.000,100.000
109.407071,2026-08-28T11:37:25.034,RAMP_DOWN_START,30.000,100.000
112.112186,2026-08-28T11:37:27.739,RAMP_DOWN_END,30.000,20.000
112.115153,2026-08-28T11:37:27.742,TEST_END,30.000,20.000
112.117167,2026-08-28T11:37:27.744,PAUSE_START,,20.000
115.117674,2026-08-28T11:37:30.744,PAUSE_END,,20.000
115.117885,2026-08-28T11:37:30.745,TEST_START,40.000,20.000
115.117924,2026-08-28T11:37:30.745,RAMP_UP_START,40.000,20.000
117.120377,2026-08-28T11:37:32.747,RAMP_UP_END,40.000,100.000
117.120575,2026-08-28T11:37:32.747,RAMP_DOWN_START,40.000,100.000
119.122394,2026-08-28T11:37:34.749,RAMP_DOWN_END,40.000,20.000
119.122610,2026-08-28T11:37:34.749,RAMP_UP_START,40.000,20.000
121.127554,2026-08-28T11:37:36.754,RAMP_UP_END,40.000,100.000
121.127783,2026-08-28T11:37:36.755,RAMP_DOWN_START,40.000,100.000
123.132685,2026-08-28T11:37:38.759,RAMP_DOWN_END,40.000,20.000
123.132793,2026-08-28T11:37:38.760,TEST_END,40.000,20.000
123.138562,2026-08-28T11:37:38.765,FINAL_BASELINE_START,,20.000
128.139064,2026-08-28T11:37:43.766,FINAL_BASELINE_END,,20.000
