time_s,in0_v,in1_v
2.780897,3.904216,1.122422
2.981825,1.228303,3.060759
3.182821,1.183869,3.084633
3.384816,1.180531,3.098844
3.585818,1.197690,3.083158
3.781867,1.235804,3.045685
3.983847,1.288257,2.984739
4.179833,1.349522,2.921389
4.381876,1.386773,2.869171
4.582868,1.413248,2.849867
4.780893,1.415787,2.840116
4.980923,1.405366,2.865280
5.181880,1.361695,2.909967
5.379884,1.320721,2.956536
5.579894,1.266955,3.003386
5.780983,1.223130,3.038897
5.980979,1.200674,3.070501
6.181940,1.181970,3.095583
11.693218,1.215721,3.046889
11.894197,1.165531,3.102308
12.096175,1.124994,3.147597
12.292153,1.108629,3.166059
12.492208,1.110320,3.148471
12.692191,1.154750,3.122472
12.892233,1.213823,3.060452
13.092215,1.268575,2.997094
13.292223,1.342107,2.911939
13.492260,1.383019,2.840758
13.692254,1.452203,2.813500
13.892280,1.467558,2.769364
14.092245,1.474304,2.770800
14.292243,1.458754,2.792741
14.492290,1.435712,2.832513
14.693270,1.379303,2.877510
14.897317,1.318931,2.938046
15.093299,1.264605,2.999552
20.606565,1.308423,2.952024
20.807554,1.252801,3.034322
21.009588,1.163228,3.118684
21.210532,1.110926,3.184379
21.406548,1.076871,3.205886
21.606546,1.073101,3.208074
21.806570,1.104392,3.167936
22.006578,1.158994,3.095435
22.206555,1.225416,3.036259
22.406589,1.319774,2.958727
22.606577,1.391876,2.881187
22.806625,1.448729,2.805272
23.006622,1.487463,2.761159
23.206623,1.510560,2.741000
23.406671,1.502281,2.739597
23.606661,1.479853,2.768603
23.806672,1.415258,2.820460
24.006670,1.363562,2.882403
29.520967,1.438316,2.803554
29.722898,1.384122,2.863938
29.923934,1.303730,2.947963
30.119910,1.223682,3.034297
30.321917,1.156401,3.095422
30.520957,1.099402,3.156416
30.720900,1.076419,3.197349
30.921958,1.084008,3.181378
31.119893,1.108315,3.162366
31.319885,1.172752,3.101160
31.519854,1.230327,3.028269
31.719871,1.298319,2.945905
31.920881,1.363211,2.870811
32.120884,1.436928,2.825185
32.320900,1.480512,2.785886
32.520898,1.519502,2.749275
32.720916,1.509366,2.746402
32.920942,1.496494,2.760769
38.453273,1.484594,2.737781
38.654224,1.483361,2.737819
38.856262,1.441887,2.780618
39.052234,1.376597,2.852715
39.252237,1.311438,2.936008
39.452260,1.226139,3.013261
39.652242,1.159343,3.094740
39.852306,1.113377,3.144442
40.052276,1.082374,3.177401
40.252267,1.077025,3.160458
40.452337,1.103545,3.141128
40.652298,1.144341,3.084527
40.853382,1.199346,3.012093
41.053366,1.266432,2.957939
41.252358,1.333154,2.879899
41.452342,1.393367,2.818776
41.657345,1.446381,2.778159
41.852386,1.480016,2.747658
47.363631,1.445178,2.775273
47.564627,1.479027,2.728386
47.766623,1.508151,2.711501
47.962634,1.488784,2.728229
48.162617,1.435167,2.776564
48.362659,1.373399,2.842927
48.566660,1.309195,2.927121
48.763666,1.224733,3.011077
48.963660,1.150803,3.085981
49.163671,1.087551,3.143523
49.363678,1.063742,3.174613
49.566679,1.059890,3.167789
49.763701,1.081215,3.150043
49.963706,1.121036,3.111723
50.163695,1.189281,3.054650
50.363708,1.252546,2.981583
50.566728,1.322962,2.898632
50.763727,1.381581,2.824896
56.272906,1.260863,2.988726
56.473915,1.339557,2.907729
56.675912,1.428216,2.830988
56.871913,1.488879,2.756889
57.071914,1.525544,2.729545
57.271915,1.525633,2.717117
57.475945,1.495248,2.746742
57.672926,1.433940,2.814233
57.872962,1.353411,2.900907
58.072968,1.273965,2.983452
58.272934,1.193428,3.075452
58.476000,1.124965,3.149223
58.672999,1.082458,3.196659
58.873009,1.052970,3.216815
59.072987,1.059457,3.227663
59.272989,1.080360,3.192423
59.476025,1.126339,3.155212
59.672981,1.179299,3.095738
65.192339,1.109805,3.158832
65.394295,1.147017,3.109224
65.595282,1.212076,3.035325
65.797288,1.286577,2.958748
65.993348,1.355477,2.882275
66.192300,1.420491,2.816836
66.392344,1.473832,2.771049
66.597329,1.478917,2.752669
66.793379,1.486784,2.761830
66.992363,1.447875,2.798707
67.193336,1.388788,2.858618
67.393388,1.325224,2.918657
67.597379,1.248775,3.006812
67.792404,1.183785,3.081403
67.992414,1.132278,3.118897
68.192374,1.100654,3.163539
68.392426,1.085521,3.188375
68.597403,1.083924,3.189940
74.116624,1.162063,3.089952
74.317608,1.154594,3.103663
74.519591,1.163118,3.099110
74.720603,1.172682,3.061261
74.916614,1.216014,3.038178
75.116606,1.269601,2.993187
75.316592,1.309116,2.934744
75.516610,1.356294,2.899188
75.716622,1.390989,2.856136
75.916706,1.400770,2.825722
76.116695,1.413012,2.825090
76.316704,1.380667,2.824592
76.516707,1.365183,2.863952
76.716723,1.333078,2.899772
76.916753,1.290100,2.944067
77.116740,1.251587,2.992389
77.316734,1.218988,3.030719
77.516756,1.181607,3.055680
83.015965,1.169885,3.089366
83.216906,1.147030,3.102805
83.417968,1.146503,3.089327
83.619956,1.177384,3.069140
83.815971,1.212082,3.046559
84.014938,1.248049,3.007550
84.214956,1.305639,2.944693
84.415968,1.344821,2.897923
84.615981,1.380672,2.867705
84.815987,1.414489,2.852625
85.015981,1.410679,2.836584
85.215998,1.400020,2.842411
85.416009,1.383144,2.869737
85.616015,1.346840,2.907263
85.816041,1.298178,2.954626
86.016091,1.265843,2.993372
86.216103,1.231523,3.027915
86.416124,1.197831,3.064484
91.930397,1.102991,3.163504
92.131357,1.086906,3.173281
92.333381,1.092697,3.192883
92.529338,1.112202,3.147919
92.730404,1.172846,3.078365
92.930410,1.238062,3.015269
93.130390,1.326993,2.939917
93.330404,1.391812,2.849305
93.530393,1.433672,2.786998
93.730403,1.485304,2.755858
93.930438,1.501456,2.740849
94.130425,1.485444,2.757151
94.330437,1.445952,2.807303
94.530429,1.394108,2.861717
94.730449,1.337959,2.928870
94.930476,1.252779,2.985250
95.130466,1.203126,3.060314
95.330565,1.151220,3.125277
100.846680,1.099628,3.186971
101.048717,1.141197,3.127837
101.249725,1.214166,3.030243
101.445742,1.294345,2.954199
101.645756,1.369019,2.862294
101.845781,1.439381,2.788272
102.045784,1.500374,2.736512
102.245740,1.515175,2.724830
102.445742,1.502702,2.738677
102.645763,1.458038,2.776541
102.845795,1.401550,2.842051
103.045773,1.334829,2.921644
103.245784,1.257376,3.003019
103.445832,1.196885,3.070463
103.645824,1.134269,3.130449
103.845845,1.090426,3.188139
104.045857,1.065462,3.187679
104.245836,1.070483,3.198013
109.757025,1.266222,2.971706
109.959020,1.323059,2.902935
110.159995,1.389309,2.839185
110.356033,1.432461,2.782469
110.556000,1.458828,2.750301
110.756021,1.465745,2.751477
110.961086,1.439319,2.780575
111.157092,1.390978,2.833022
111.357139,1.329241,2.897785
111.557118,1.260820,2.975168
111.757134,1.205505,3.039440
111.960114,1.145763,3.094927
112.157142,1.106464,3.131635
112.357194,1.091122,3.146019
112.557168,1.093798,3.144646
112.757190,1.117786,3.117121
112.960202,1.153870,3.079260
113.157171,1.202452,3.045586
118.682462,1.439376,2.787190
118.883432,1.454111,2.760656
119.085430,1.463526,2.765565
119.281422,1.438185,2.783062
119.481421,1.386365,2.829391
119.681424,1.336789,2.897452
119.881466,1.281209,2.972548
120.081445,1.216683,3.040309
120.282447,1.156050,3.102723
120.481462,1.116386,3.137243
120.682466,1.101205,3.153619
120.886905,1.106813,3.108994
121.082418,1.132123,3.120861
121.282412,1.172824,3.076143
121.481431,1.231976,3.029420
121.682420,1.285084,2.961885
121.886482,1.336686,2.898915
122.082449,1.388661,2.845282
127.580801,1.502715,2.731818
127.781806,1.492129,2.735664
127.982761,1.465942,2.772664
128.184774,1.412941,2.846832
128.380772,1.327522,2.928761
128.580783,1.243766,3.010221
128.785856,1.170064,3.074731
128.979806,1.113229,3.141079
129.179799,1.080839,3.184266
129.379807,1.070971,3.200760
129.579811,1.095044,3.173814
129.780862,1.128593,3.136468
129.979839,1.190108,3.076643
130.179838,1.258330,3.006748
130.379837,1.320428,2.925245
130.579877,1.391335,2.854961
130.780894,1.441971,2.799852
130.979874,1.498732,2.762103
136.479165,1.480173,2.757952
136.681123,1.440394,2.811861
136.882144,1.361367,2.891451
137.078122,1.290137,2.987213
137.278131,1.187724,3.078661
137.479125,1.118442,3.159364
137.684141,1.077811,3.193285
137.879154,1.063575,3.221322
138.079158,1.078868,3.209032
138.278162,1.118407,3.165047
138.479166,1.182182,3.068677
138.684179,1.257353,3.003445
138.879210,1.337946,2.914380
139.079191,1.417484,2.830812
139.278201,1.456722,2.773174
139.479234,1.503236,2.732461
139.684228,1.533431,2.720697
139.879258,1.509284,2.714960
145.409519,1.366147,2.857898
145.610472,1.319834,2.927659
145.812566,1.257902,3.001853
146.013523,1.193740,3.062830
146.209478,1.132456,3.120756
146.409490,1.098814,3.143622
146.609504,1.106416,3.147745
146.809546,1.125661,3.129391
147.009506,1.178824,3.081312
147.209545,1.234385,3.024233
147.409516,1.298241,2.947527
147.609534,1.358647,2.878841
147.809583,1.415165,2.822938
148.009613,1.445717,2.784206
148.209555,1.468352,2.755695
148.409664,1.467423,2.753345
148.609618,1.465927,2.775740
148.809627,1.430024,2.809359
