time_s,in0_v,in1_v,point_id,angle1_deg,angle2_deg
7.663562,3.813879,1.146253,1,1.000,1.000
7.860523,1.164710,3.035266,1,1.000,1.000
8.061526,1.218298,2.987956,1,1.000,1.000
8.262547,1.286653,2.899951,1,1.000,1.000
8.464679,1.356269,2.825585,1,1.000,1.000
8.665585,1.378224,2.814901,1,1.000,1.000
8.862567,1.350652,2.853648,1,1.000,1.000
9.063627,1.277960,2.923813,1,1.000,1.000
9.259636,1.206617,2.987951,1,1.000,1.000
9.461647,1.173390,3.049101,1,1.000,1.000
9.660665,1.170627,3.042243,1,1.000,1.000
9.860639,1.217644,2.997075,1,1.000,1.000
10.060651,1.286229,2.932323,1,1.000,1.000
10.260671,1.353823,2.863091,1,1.000,1.000
10.460703,1.375503,2.810199,1,1.000,1.000
10.660699,1.388290,2.817496,1,1.000,1.000
10.860699,1.350819,2.850465,1,1.000,1.000
11.065713,1.299078,2.907212,1,1.000,1.000
15.696048,1.096293,3.089679,2,1.000,40.996
15.897984,1.071093,3.143041,2,1.000,40.996
16.099036,1.074993,3.116925,2,1.000,40.996
16.295035,1.154431,3.041273,2,1.000,40.996
16.497057,1.258402,2.919621,2,1.000,40.996
16.698058,1.372083,2.809380,2,1.000,40.996
16.900071,1.445198,2.725867,2,1.000,40.996
17.096078,1.450516,2.723212,2,1.000,40.996
17.297101,1.397732,2.799350,2,1.000,40.996
17.495131,1.276994,2.919286,2,1.000,40.996
17.695130,1.166144,3.040963,2,1.000,40.996
17.897108,1.082579,3.126416,2,1.000,40.996
18.095145,1.070495,3.150454,2,1.000,40.996
18.295146,1.118111,3.101337,2,1.000,40.996
18.495157,1.198323,3.001784,2,1.000,40.996
18.695195,1.305244,2.892605,2,1.000,40.996
18.897181,1.395865,2.793267,2,1.000,40.996
19.095194,1.452630,2.731022,2,1.000,40.996
23.744589,1.382315,2.819034,3,1.000,81.036
23.940559,1.274986,2.912797,3,1.000,81.036
24.142592,1.175740,3.030418,3,1.000,81.036
24.343582,1.100791,3.117269,3,1.000,81.036
24.539590,1.080065,3.129540,3,1.000,81.036
24.741592,1.124187,3.084299,3,1.000,81.036
24.942580,1.221104,2.971294,3,1.000,81.036
25.144630,1.337199,2.851904,3,1.000,81.036
25.345620,1.428206,2.758754,3,1.000,81.036
25.539674,1.471252,2.720000,3,1.000,81.036
25.739661,1.421566,2.754197,3,1.000,81.036
25.940688,1.329424,2.858378,3,1.000,81.036
26.140690,1.220282,2.961144,3,1.000,81.036
26.343669,1.136415,3.066435,3,1.000,81.036
26.540692,1.088579,3.122470,3,1.000,81.036
26.740715,1.077022,3.107848,3,1.000,81.036
26.940714,1.127191,3.071508,3,1.000,81.036
27.140719,1.204781,2.971927,3,1.000,81.036
31.667068,1.464201,2.715564,4,1.000,120.956
31.869069,1.467652,2.688616,4,1.000,120.956
32.065067,1.435015,2.746040,4,1.000,120.956
32.267054,1.323946,2.856606,4,1.000,120.956
32.468079,1.201262,2.998394,4,1.000,120.956
32.664115,1.100272,3.110382,4,1.000,120.956
32.866094,1.051654,3.156112,4,1.000,120.956
33.067127,1.084459,3.110245,4,1.000,120.956
33.263105,1.186242,3.011750,4,1.000,120.956
33.463112,1.305556,2.874187,4,1.000,120.956
33.664162,1.419583,2.760088,4,1.000,120.956
33.864155,1.474539,2.696794,4,1.000,120.956
34.065164,1.469746,2.716269,4,1.000,120.956
34.264178,1.399709,2.800860,4,1.000,120.956
34.464198,1.283433,2.919622,4,1.000,120.956
34.664247,1.170865,3.042440,4,1.000,120.956
34.864213,1.087074,3.119436,4,1.000,120.956
35.065229,1.052626,3.158235,4,1.000,120.956
39.588598,1.314036,2.874847,5,1.000,160.000
39.789567,1.356864,2.838783,5,1.000,160.000
39.991556,1.371036,2.807227,5,1.000,160.000
40.187551,1.357195,2.833088,5,1.000,160.000
40.388565,1.302218,2.891694,5,1.000,160.000
40.590625,1.230429,2.950559,5,1.000,160.000
40.791623,1.174633,3.012633,5,1.000,160.000
40.987606,1.151139,3.039934,5,1.000,160.000
41.189631,1.160845,3.015701,5,1.000,160.000
41.387633,1.209751,2.970495,5,1.000,160.000
41.588434,1.277868,2.801993,5,1.000,160.000
41.786678,1.334445,2.846133,5,1.000,160.000
41.986715,1.360802,2.804659,5,1.000,160.000
42.190733,1.362717,2.811839,5,1.000,160.000
42.386697,1.322966,2.850334,5,1.000,160.000
42.586714,1.275795,2.913005,5,1.000,160.000
42.786740,1.217070,2.972501,5,1.000,160.000
42.986729,1.173870,3.019040,5,1.000,160.000
47.512067,1.379880,2.792176,6,40.996,160.000
47.717084,1.389709,2.759130,6,40.996,160.000
47.918052,1.388068,2.793844,6,40.996,160.000
