time_s,in0_v,in1_v
3.454877,3.929255,0.985444
3.655847,1.361086,2.833302
3.857825,1.308658,2.883759
4.058840,1.264341,2.945431
4.254850,1.210902,2.992387
4.456877,1.165560,3.022918
4.658058,1.159102,3.044329
4.853922,1.145111,3.010404
5.055944,1.188326,2.997379
5.256969,1.231958,2.959906
5.458997,1.277004,2.902845
5.654957,1.318739,2.858764
5.854954,1.346855,2.827428
6.053995,1.370188,2.805686
6.254041,1.364542,2.800740
6.454031,1.364001,2.815262
6.654005,1.327393,2.850255
6.854006,1.296283,2.898628
12.387326,1.412185,2.763903
12.588320,1.382472,2.789390
12.790303,1.336600,2.843059
12.986305,1.280073,2.913059
13.188330,1.223762,2.978004
13.384358,1.168481,3.037781
13.584359,1.120318,3.082304
13.788354,1.089613,3.101805
13.984351,1.092621,3.092656
14.185381,1.117145,3.086260
14.384398,1.154252,3.029117
14.584395,1.204483,2.975770
14.788416,1.254665,2.925051
14.984432,1.321726,2.869659
15.185428,1.370919,2.815396
15.384461,1.402998,2.770949
15.583724,1.419536,2.754565
15.788413,1.435329,2.757413
21.296809,1.455288,2.733580
21.497728,1.439309,2.715554
21.699735,1.418100,2.751484
21.895710,1.376979,2.809189
22.095726,1.302318,2.878755
22.295767,1.252148,2.965271
22.499757,1.171607,3.022004
22.696768,1.114044,3.076469
22.896781,1.077075,3.129847
23.096767,1.065356,3.137414
23.296821,1.069575,3.129062
23.499804,1.113880,3.090766
23.696808,1.156858,3.039382
23.896812,1.214942,2.973440
24.096826,1.285692,2.909135
24.296869,1.345945,2.842896
24.499856,1.391024,2.781346
24.696858,1.425481,2.747062
30.227149,1.362120,2.809771
30.429137,1.407968,2.762055
30.630221,1.446748,2.717966
30.832115,1.442395,2.719441
31.028148,1.424740,2.745212
31.227162,1.383213,2.799367
31.431170,1.316766,2.870542
31.627164,1.258273,2.944374
31.827151,1.181589,3.018824
32.028168,1.124846,3.086500
32.227188,1.083792,3.118765
32.431211,1.076041,3.146193
32.627200,1.076146,3.136144
32.827189,1.096036,3.103132
33.028264,1.148186,3.065019
33.227246,1.206946,2.995984
33.431253,1.262549,2.931252
33.627257,1.322727,2.879835
39.140538,1.191854,2.989185
39.341535,1.260499,2.933387
39.543523,1.334785,2.855215
39.739500,1.379736,2.797665
39.941548,1.432868,2.746814
40.140519,1.453913,2.725120
40.341576,1.444830,2.735155
40.540577,1.413376,2.756603
40.740564,1.366295,2.821179
40.940572,1.306424,2.895441
41.140567,1.237262,2.959254
41.341624,1.171021,3.021113
41.540614,1.131567,3.079739
41.740590,1.089013,3.109252
41.940633,1.075810,3.134516
42.140636,1.081817,3.140746
42.341666,1.096040,3.099114
42.540682,1.133264,3.059017
48.054869,1.086720,3.119979
48.255840,1.129656,3.074094
48.457843,1.194434,3.015120
48.653909,1.261021,2.931910
48.855900,1.336816,2.839623
49.054958,1.401538,2.771175
49.254941,1.451578,2.726226
49.454947,1.474371,2.697000
49.654953,1.462979,2.705747
49.854949,1.420897,2.743448
50.055022,1.377708,2.803247
50.255017,1.290670,2.872138
50.454994,1.228322,2.950913
50.655022,1.170309,3.005189
50.854994,1.113168,3.067391
51.055033,1.078136,3.099825
51.255027,1.056175,3.130975
51.455065,1.060354,3.137630
56.964343,1.046565,3.149857
57.165330,1.042097,3.138366
57.367366,1.074372,3.123616
57.563329,1.132329,3.055719
57.765343,1.194476,2.978425
57.964336,1.265935,2.896771
58.164346,1.359370,2.819963
58.364399,1.421250,2.746532
58.564399,1.456902,2.703698
58.764379,1.473014,2.697003
58.964409,1.462215,2.710728
59.164424,1.426622,2.753532
59.364420,1.368722,2.806039
59.564406,1.289204,2.881788
59.764404,1.230037,2.964767
59.965001,1.165559,2.963958
60.163448,1.110015,3.082588
60.364455,1.071075,3.125950
65.897748,1.071867,3.087835
66.098716,1.070254,3.115674
66.300764,1.090504,3.114450
66.501753,1.115187,3.068773
66.696744,1.165193,3.017408
66.896724,1.218979,2.947948
67.100732,1.292279,2.893619
67.297791,1.349234,2.826185
67.497781,1.390584,2.768960
67.697777,1.419086,2.737894
67.897776,1.428989,2.732597
68.100793,1.391884,2.755897
68.297822,1.371716,2.800806
68.497810,1.328025,2.839737
68.696813,1.268117,2.896487
68.896830,1.228724,2.955251
69.100864,1.172564,3.016446
69.296866,1.128294,3.078641
74.808140,1.237203,2.944687
75.009113,1.197474,2.981847
75.210147,1.170698,3.025468
75.412151,1.156755,3.039732
75.608133,1.150050,3.038914
75.808140,1.164970,3.037560
76.010157,1.185009,2.996417
76.207162,1.218362,2.963599
76.407234,1.256914,2.933610
76.607197,1.296235,2.891181
76.807175,1.320246,2.852858
77.010195,1.341855,2.823558
77.207183,1.361965,2.816535
77.407228,1.367068,2.812075
77.608222,1.344648,2.821336
77.808236,1.331193,2.853062
78.010233,1.304667,2.878757
78.208246,1.263957,2.912842
83.737547,1.213869,2.957034
83.938522,1.189507,2.992442
84.139542,1.156863,3.012091
84.341549,1.152817,3.050378
84.537536,1.141692,3.043921
84.736526,1.160546,3.029659
84.936566,1.182254,2.996140
85.141567,1.215621,2.967432
85.337613,1.259645,2.924955
85.537598,1.294527,2.880084
85.737595,1.324517,2.849626
85.937603,1.350677,2.826022
86.141605,1.359717,2.810896
86.337638,1.370882,2.810505
